Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
R5A Quadruple Extra Large,r5a.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.90400
C5N Quadruple Extra Large,c5n.4xlarge,42.0 GiB,16 vCPUs,EBS only,Up to 25 Gigabit,0.86400
R7G Quadruple Extra Large,r7g.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,0.85680
X1E Extra Large,x1e.xlarge,122.0 GiB,4 vCPUs,120 GB                 SSD,Up to 10 Gigabit,0.83400
C7A Quadruple Extra Large,c7a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.82110
M7I Quadruple Extra Large,m7i.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.80640
R6G Quadruple Extra Large,r6g.4xlarge,128.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.80640
M4 General Purpose Quadruple Extra Large,m4.4xlarge,64.0 GiB,16 vCPUs,EBS only,High,0.80000
C4 High-CPU Quadruple Extra Large,c4.4xlarge,30.0 GiB,16 vCPUs,EBS only,High,0.79600
M5 General Purpose Quadruple Extra Large,m5.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.76800
M6I Quadruple Extra Large,m6i.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.76800
M7I-FLEX Quadruple Extra Large,m7i-flex.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.76610
R7IZ Double Extra Large,r7iz.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.74400
M8G Quadruple Extra Large,m8g.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,0.71810
C7I Quadruple Extra Large,c7i.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.71400
R6IN Double Extra Large,r6in.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,0.69730
C6GN Quadruple Extra Large,c6gn.4xlarge,32.0 GiB,16 vCPUs,EBS only,25 Gigabit,0.69120
M6A Quadruple Extra Large,m6a.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.69120
M5A Quadruple Extra Large,m5a.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.68800
C5 High-CPU Quadruple Extra Large,c5.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.68000
C6I Quadruple Extra Large,c6i.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.68000
C7I-FLEX Quadruple Extra Large,c7i-flex.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.67830
R3 High-Memory Double Extra Large,r3.2xlarge,61.0 GiB,8 vCPUs,160 GB                 SSD,High,0.66400
M5ZN Double Extra Large,m5zn.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,0.66070
M7G Quadruple Extra Large,m7g.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,0.65280
C8G Quadruple Extra Large,c8g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,0.63580
M6G Quadruple Extra Large,m6g.4xlarge,64.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.61600
C5A Quadruple Extra Large,c5a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.61600
C6A Quadruple Extra Large,c6a.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 12.5 Gigabit,0.61200
R7A Double Extra Large,r7a.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.60860
R5B Double Extra Large,r5b.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.59600
R5N Double Extra Large,r5n.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,0.59600
C7G Quadruple Extra Large,c7g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 15 Gigabit,0.57810
M6IN Double Extra Large,m6in.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,0.55690
C6G Quadruple Extra Large,c6g.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.54400
R4 High-Memory Double Extra Large,r4.2xlarge,61.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.53200
R7I Double Extra Large,r7i.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.52920
R5 Double Extra Large,r5.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.50400
R6I Double Extra Large,r6i.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.50400
C7GN Double Extra Large,c7gn.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 50 Gigabit,0.49920
M5N Double Extra Large,m5n.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,0.47600
R8G Double Extra Large,r8g.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,0.47130
M7A Double Extra Large,m7a.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.46370
C6IN Double Extra Large,c6in.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 40 Gigabit,0.45360
R6A Double Extra Large,r6a.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.45360
R5A Double Extra Large,r5a.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.45200
C5N Double Extra Large,c5n.2xlarge,21.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,0.43200
R7G Double Extra Large,r7g.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,0.42840
C7A Double Extra Large,c7a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.41060
A1 Quadruple Extra Large,a1.4xlarge,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.40800
A1 Metal,a1.metal,32.0 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,0.40800
M7I Double Extra Large,m7i.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.40320
R6G Double Extra Large,r6g.2xlarge,64.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.40320
M4 General Purpose Double Extra Large,m4.2xlarge,32.0 GiB,8 vCPUs,EBS only,High,0.40000
C4 High-CPU Double Extra Large,c4.2xlarge,15.0 GiB,8 vCPUs,EBS only,High,0.39800
M6I Double Extra Large,m6i.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.38400
M5 General Purpose Double Extra Large,m5.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.38400
M7I-FLEX Double Extra Large,m7i-flex.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.38300
R7IZ Extra Large,r7iz.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.37200
T2 Double Extra Large,t2.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   4h 4.8m                   burst,EBS only,Moderate,0.37120
M8G Double Extra Large,m8g.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,0.35900
C7I Double Extra Large,c7i.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.35700
R6IN Extra Large,r6in.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,0.34870
M6A Double Extra Large,m6a.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.34560
C6GN Double Extra Large,c6gn.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 25 Gigabit,0.34560
M5A Double Extra Large,m5a.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.34400
C5 High-CPU Double Extra Large,c5.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.34000
C6I Double Extra Large,c6i.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.34000
C7I-FLEX Double Extra Large,c7i-flex.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.33920
T3 Double Extra Large,t3.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,0.33280
R3 High-Memory Extra Large,r3.xlarge,30.5 GiB,4 vCPUs,80 GB                 SSD,Moderate,0.33200
M5ZN Extra Large,m5zn.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,0.33030
M7G Double Extra Large,m7g.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,0.32640
C8G Double Extra Large,c8g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,0.31790
M6G Double Extra Large,m6g.2xlarge,32.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.30800
C5A Double Extra Large,c5a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.30800
C6A Double Extra Large,c6a.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 12.5 Gigabit,0.30600
R7A Extra Large,r7a.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.30430
T3A Double Extra Large,t3a.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,0.30080
R5N Extra Large,r5n.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,0.29800
R5B Extra Large,r5b.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.29800
C7G Double Extra Large,c7g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 15 Gigabit,0.28900
M6IN Extra Large,m6in.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,0.27850
C6G Double Extra Large,c6g.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.27200
T4G Double Extra Large,t4g.2xlarge,32.0 GiB,8 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,0.26880
R4 High-Memory Extra Large,r4.xlarge,30.5 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.26600
R7I Extra Large,r7i.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.26460
R6I Extra Large,r6i.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.25200
R5 Extra Large,r5.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.25200
C7GN Extra Large,c7gn.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 40 Gigabit,0.24960
M5N Extra Large,m5n.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,0.23800
R8G Extra Large,r8g.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.23560
M7A Extra Large,m7a.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.23180
R6A Extra Large,r6a.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.22680
C6IN Extra Large,c6in.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,0.22680
R5A Extra Large,r5a.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.22600
C5N Extra Large,c5n.xlarge,10.5 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,0.21600
R7G Extra Large,r7g.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.21420
C7A Extra Large,c7a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.20530
A1 Double Extra Large,a1.2xlarge,16.0 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,0.20400
M7I Extra Large,m7i.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.20160
R6G Extra Large,r6g.xlarge,32.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.20160
M4 General Purpose Extra Large,m4.xlarge,16.0 GiB,4 vCPUs,EBS only,High,0.20000
C4 High-CPU Extra Large,c4.xlarge,7.5 GiB,4 vCPUs,EBS only,High,0.19900
M5 General Purpose Extra Large,m5.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.19200
M6I Extra Large,m6i.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.19200
M7I-FLEX Extra Large,m7i-flex.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.19150
R7IZ Large,r7iz.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.18600
T2 Extra Large,t2.xlarge,16.0 GiB,4 vCPUs                                                         for a                   5h 24m                   burst,EBS only,Moderate,0.18560
M8G Extra Large,m8g.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.17950
C7I Extra Large,c7i.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.17850
R6IN Large,r6in.large,16.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.17430
M6A Extra Large,m6a.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.17280
C6GN Extra Large,c6gn.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 25 Gigabit,0.17280
M5A Extra Large,m5a.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.17200
C5 High-CPU Extra Large,c5.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.17000
C6I Extra Large,c6i.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.17000
C7I-FLEX Extra Large,c7i-flex.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.16960
T3 Extra Large,t3.xlarge,16.0 GiB,4 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,0.16640
R3 High-Memory Large,r3.large,15.25 GiB,2 vCPUs,32 GB                 SSD,Moderate,0.16600
M5ZN Large,m5zn.large,8.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.16520
M7G Extra Large,m7g.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.16320
C8G Extra Large,c8g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.15900
C5A Extra Large,c5a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.15400
M6G Extra Large,m6g.xlarge,16.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.15400
C6A Extra Large,c6a.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.15300
R7A Large,r7a.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.15220
T3A Extra Large,t3a.xlarge,16.0 GiB,4 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,0.15040
R5B Large,r5b.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.14900
R5N Large,r5n.large,16.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.14900
C7G Extra Large,c7g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 12.5 Gigabit,0.14450
M6IN Large,m6in.large,8.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.13920
C6G Extra Large,c6g.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.13600
T4G Extra Large,t4g.xlarge,16.0 GiB,4 vCPUs                                                         for a                   9h 36m                   burst,EBS only,Up to 5 Gigabit,0.13440
R4 High-Memory Large,r4.large,15.25 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.13300
R7I Large,r7i.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.13230
R6I Large,r6i.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.12600
R5 Large,r5.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.12600
C7GN Large,c7gn.large,4.0 GiB,2 vCPUs,EBS only,Up to 30 Gigabit,0.12480
M5N Large,m5n.large,8.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.11900
R8G Large,r8g.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.11780
M7A Large,m7a.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.11590
R6A Large,r6a.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.11340
C6IN Large,c6in.large,4.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.11340
R5A Large,r5a.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.11300
C5N Large,c5n.large,5.25 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.10800
R7G Large,r7g.large,16.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.10710
C7A Large,c7a.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.10260
A1 Extra Large,a1.xlarge,8.0 GiB,4 vCPUs,EBS only,Up to 10 Gigabit,0.10200
M7I Large,m7i.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.10080
R6G Large,r6g.large,16.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.10080
C4 High-CPU Large,c4.large,3.75 GiB,2 vCPUs,EBS only,Moderate,0.10000
M4 General Purpose Large,m4.large,8.0 GiB,2 vCPUs,EBS only,Moderate,0.10000
M6I Large,m6i.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.09600
M5 General Purpose Large,m5.large,8.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.09600
M7I-FLEX Large,m7i-flex.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.09580
T2 Large,t2.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Low to Moderate,0.09280
M8G Large,m8g.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.08980
C7I Large,c7i.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.08920
M6A Large,m6a.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.08640
C6GN Large,c6gn.large,4.0 GiB,2 vCPUs,EBS only,Up to 25 Gigabit,0.08640
M5A Large,m5a.large,8.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.08600
C6I Large,c6i.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.08500
C5 High-CPU Large,c5.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.08500
C7I-FLEX Large,c7i-flex.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.08480
T3 Large,t3.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Up to 5 Gigabit,0.08320
M7G Large,m7g.large,8.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.08160
C8G Large,c8g.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.07950
M6G Large,m6g.large,8.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.07700
C5A Large,c5a.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.07700
C6A Large,c6a.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.07650
R7A Medium,r7a.medium,8.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.07610
T3A Large,t3a.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Up to 5 Gigabit,0.07520
C7G Large,c7g.large,4.0 GiB,2 vCPUs,EBS only,Up to 12.5 Gigabit,0.07230
C6G Large,c6g.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.06800
T4G Large,t4g.large,8.0 GiB,2 vCPUs                                                         for a                   7h 12m                   burst,EBS only,Up to 5 Gigabit,0.06720
C7GN Medium,c7gn.medium,2.0 GiB,1 vCPUs,EBS only,Up to 25 Gigabit,0.06240
R8G Medium,r8g.medium,8.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.05890
M7A Medium,m7a.medium,4.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.05800
R7G Medium,r7g.medium,8.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.05360
C7A Medium,c7a.medium,2.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.05130
A1 Large,a1.large,4.0 GiB,2 vCPUs,EBS only,Up to 10 Gigabit,0.05100
R6G Medium,r6g.medium,8.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,0.05040
T2 Medium,t2.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Low to Moderate,0.04640
M8G Medium,m8g.medium,4.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.04490
C6GN Medium,c6gn.medium,2.0 GiB,1 vCPUs,EBS only,Up to 16 Gigabit,0.04320
T3 Medium,t3.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,0.04160
M7G Medium,m7g.medium,4.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.04080
C8G Medium,c8g.medium,2.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.03970
M6G Medium,m6g.medium,4.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,0.03850
T3A Medium,t3a.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,0.03760
C7G Medium,c7g.medium,2.0 GiB,1 vCPUs,EBS only,Up to 12.5 Gigabit,0.03610
C6G Medium,c6g.medium,2.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,0.03400
T4G Medium,t4g.medium,4.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,0.03360
A1 Medium,a1.medium,2.0 GiB,1 vCPUs,EBS only,Up to 10 Gigabit,0.02550
T2 Small,t2.small,2.0 GiB,1 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Low to Moderate,0.02300
T3 Small,t3.small,2.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,0.02080
T3A Small,t3a.small,2.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,0.01880
T4G Small,t4g.small,2.0 GiB,2 vCPUs                                                         for a                   4h 48m                   burst,EBS only,Up to 5 Gigabit,0.01680
T2 Micro,t2.micro,1.0 GiB,1 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Low to Moderate,0.01160
T3 Micro,t3.micro,1.0 GiB,2 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Up to 5 Gigabit,0.01040
T3A Micro,t3a.micro,1.0 GiB,2 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Up to 5 Gigabit,0.00940
T4G Micro,t4g.micro,1.0 GiB,2 vCPUs                                                         for a                   2h 24m                   burst,EBS only,Up to 5 Gigabit,0.00840
T2 Nano,t2.nano,0.5 GiB,1 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Low to Moderate,0.00580
T3 Nano,t3.nano,0.5 GiB,2 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Up to 5 Gigabit,0.00520
T3A Nano,t3a.nano,0.5 GiB,2 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Up to 5 Gigabit,0.00470
T4G Nano,t4g.nano,0.5 GiB,2 vCPUs                                                         for a                   1h 12m                   burst,EBS only,Up to 5 Gigabit,0.00420
